English,Bislama,Pijin,Tok Pisin,Torres Creole
steal,stil/stilim/stilimaot/stilstilim,stilim,stilim,
stone,ston/stonwol,ston,ston,ston
stop,/stop/stopem,finis,dai (indai)i stop/stopim,
sun,san,san,san,san
take,karemaot/profite/tekem/tekemaot/tekembak/tekemdaon/tekerod/tekpat/tektaem,kam/tekem,kisim/bringim,
tell,raosem/talem/taltalem,talem,tokim,
they,olgeta/oli,olgeta,ol,
think,ting/tingbaot/tingting,ting ting,tingting/ting/tingting,
time,taem/taemem,taem,taim,
today,tede,tude,tede/tude,tidei
together,tugeta/wanples,tugeda,wantaim,
tomorrow,tumora,,tumaro,thumara
tongue,tan/tang,tan,tan/tang,tan
tooth,tut,titi,tit,tit
tree,wud/tri/anandat/balanggo/benoa/blakpam/bluwud/glutri/nalakulaku/namalaos/namalaus/nambalanggo/nambuka/namemiwa/nasis/navava/navenue,tri,diwai/dawai,tri
true,tru,stret,tru,
turtle,totel,,trosel/trausel,totol
two,tu/tufala/tustori/tutu,tu/tufala,tu/tupela/tu/tupela,tu
understand,andastan/andastanem/haremsave/ridimsave/save,minim/save,save,
very,dabolbun/fodei/sapgud/smolsmol/stonej,tumas/fogud,tumas/mo/tru,
visit,visit/visitim,kasem,go lukim,
want,wantem,laek/laekem/wande,laik,
water,wota/welwota/wotafi/wotasaplae,wata,wara,wata
we,yumi/mitrifala/mitufala/yumitrifala/yumitu/yumitufala,mifala,yumi/mipela,mipla
what,kanelvet/wanem/wataem/watfo/wedei,wat,wanem,
wind,waenem/waenemap/wilim/wilimap/win,,win,win
with,wetem,tugeda/wetim,wantaim,
yam,redyam/waelu/yamsped,,mami/yam,yam
yes,,,ya/yes,wa
you,yu/taptapin/yufala/yutrifala/yutufala,iu/iu fala,yu/yupela/yu/yupela,yu
